No,Time,Press
1,10,0.873145449
2,20,0.949202988
3,30,0.691264015
4,40,0.849668455
5,50,0.708598874
6,60,0.656314221
7,70,0.900399304
8,80,0.814701511
9,90,0.672783009
10,100,0.569186476
11,110,0.800925061
12,120,0.985194236
13,130,0.681418937
14,140,0.878394552
15,150,0.62934533
16,160,0.705170972
17,170,0.690733512
18,180,0.773729958
19,190,0.978170343
20,200,0.695966649
21,210,0.64715264
22,220,0.575046869
23,230,0.568438734
24,240,0.655197922
25,250,0.647883996
26,260,0.98396834
27,270,0.949349511
28,280,0.773016529
29,290,0.526411523
30,300,0.686508309
31,310,0.602310513
32,320,0.575238339
33,330,0.553048736
34,340,0.812916432
35,350,0.874576752
36,360,0.943451204
37,370,0.924508733
38,380,0.907096437
39,390,0.612447072
40,400,0.778005612
41,410,0.571231307
42,420,0.823606556
43,430,0.661774558
44,440,0.801714819
45,450,0.999628666
46,460,0.852056892
47,470,0.922609063
48,480,0.792971371
49,490,0.854769989
50,500,0.944972591
51,510,0.92725129
52,520,0.727011819
53,530,0.565009199
54,540,0.954312393
55,550,0.823313514
56,560,0.63135882
57,570,0.933647609
58,580,0.711114488
59,590,0.784015542
60,600,0.630826951
61,610,0.714178493
62,620,0.786350047
63,630,0.809551162
64,640,0.795763772
65,650,0.636698255
66,660,0.500282982
67,670,0.781133188
68,680,0.607598839
69,690,0.716424392
70,700,0.763006981
71,710,0.575316239
72,720,0.910196577
73,730,0.742291533
74,740,0.995664771
75,750,0.727751292
76,760,0.846892656
77,770,0.946149615
78,780,0.916514106
79,790,0.775191907
80,800,0.816977701
81,810,0.732764355
82,820,0.753072635
83,830,0.737397653
84,840,0.806353262
85,850,0.637819222
86,860,0.945788697
87,870,0.729214835
88,880,0.722565586
89,890,0.996845612
90,900,0.562871408
91,910,0.959501911
92,920,0.930849429
93,930,0.715085768
94,940,0.695442985
95,950,0.944024358
96,960,0.686111977
97,970,0.780348542
98,980,0.605670931
99,990,0.634414195
100,1000,0.561917698
101,1010,0.748763286
102,1020,0.66173546
103,1030,0.536129742
104,1040,0.504990976
105,1050,0.64971697
106,1060,0.828745642
107,1070,0.809913562
108,1080,0.834454382
109,1090,0.966776191
110,1100,0.64365001
111,1110,0.917936689
112,1120,0.826951281
113,1130,0.523038644
114,1140,0.514120776
115,1150,0.536936055
116,1160,0.54413474
117,1170,0.589912972
118,1180,0.755126525
119,1190,0.753280087
120,1200,0.845513364
121,1210,0.642329325
122,1220,0.557228646
123,1230,0.714628144
124,1240,0.834526621
125,1250,0.5193874
126,1260,0.900977242
127,1270,0.764214051
128,1280,0.975277747
129,1290,0.737363898
130,1300,0.848752623
131,1310,0.659846845
132,1320,0.59494678
133,1330,0.708260677
134,1340,0.786542428
135,1350,0.978821698
136,1360,0.672591908
137,1370,0.541820403
138,1380,0.945149629
139,1390,0.736310634
140,1400,0.794281041
141,1410,0.754000886
142,1420,0.851341216
143,1430,0.614606309
144,1440,0.780582437
145,1450,0.98978053
146,1460,0.967759132
147,1470,0.773389559
148,1480,0.987461207
149,1490,0.876924365
150,1500,0.989177646
151,1510,0.506273801
152,1520,0.649151226
153,1530,0.798266975
154,1540,0.988036625
155,1550,0.619913947
156,1560,0.89361582
157,1570,0.863233475
158,1580,0.882930346
159,1590,0.649076661
160,1600,0.922138498
161,1610,0.711105255
162,1620,0.673031833
163,1630,0.732612012
164,1640,0.735450123
165,1650,0.977092513
166,1660,0.904628195
167,1670,0.648303826
168,1680,0.58142902
169,1690,0.510241933
170,1700,0.591864836
171,1710,0.699562056
172,1720,0.624669338
173,1730,0.972075339
174,1740,0.974641675
175,1750,0.877702657
176,1760,0.648498445
177,1770,0.54033102
178,1780,0.86985933
179,1790,0.991738852
180,1800,0.843115882
181,1810,0.704021953
182,1820,0.96091385
183,1830,0.503628606
184,1840,0.628962192
185,1850,0.921716851
186,1860,0.758456247
187,1870,0.578042826
188,1880,0.629124025
189,1890,0.830822892
190,1900,0.878910967
191,1910,0.844563049
192,1920,0.619071029
193,1930,0.60788903
194,1940,0.960948745
195,1950,0.524788874
196,1960,0.929902893
197,1970,0.744397982
198,1980,0.679766641
199,1990,0.941119958
200,2000,0.931802989
201,2010,0.84841047
202,2020,0.826510044
203,2030,0.617021432
204,2040,0.882170388
205,2050,0.892415593
206,2060,0.882309807
207,2070,0.587690205
208,2080,0.607238125
209,2090,0.553685648
210,2100,0.524421935
211,2110,0.576627449
212,2120,0.521989449
213,2130,0.774561424
214,2140,0.808718375
215,2150,0.624404651
216,2160,0.629017838
217,2170,0.5205905
218,2180,0.795669376
219,2190,0.575800624
220,2200,0.838509654
